No,都道府県,名称,開催月 
18,群馬県,七草大祭だるま市,1月 
﻿24,東京都,伊豆大島椿まつり,1月 
﻿33,長野県,道祖神祭り,1月 
﻿37,愛知県,国府宮はだか祭り,1月 
﻿45,大阪府,今宮十日戎,1月 
﻿46,大阪府,四天王寺どやどや,1月 
﻿49,奈良県,若草山焼き,1月 
﻿60,福岡県,玉せせり,1月 
