No,都道府県,名称,開催月 
15,福島県,相馬野馬追,7月 
﻿35,岐阜県,郡上おどり,7月 
﻿41,京都府,祇園祭,7月 
﻿47,大阪府,天神祭,7月 
﻿51,和歌山県,那智の火祭,7月 
﻿53,島根県,鷺舞神事,7月 
﻿67,沖縄県,エイサー,7月 
