No,都道府県,名称,開催月 
16,茨城県,水郷潮来あやめ祭り,5月 
﻿21,東京都,神田祭,5月 
﻿22,東京都,三社祭,5月 
﻿29,石川県,青柏祭,5月 
﻿36,静岡県,黒船祭,5月 
﻿39,京都府,葵祭,5月 
﻿56,広島県,ひろしまフラワーフェスティバル,5月 
﻿57,山口県,先帝祭,5月 
﻿61,福岡県,博多どんたく,5月 
﻿68,沖縄県,糸満ハーレー,5月 
