No,都道府県,名称,開催月 
5,青森県,青森ねぶた,8月 
﻿6,青森県,弘前ねぷた,8月 
﻿8,青森県,黒石よされ,8月 
﻿10,岩手県,さんさ踊り,8月 
﻿11,宮城県,仙台七夕まつり,8月 
﻿12,秋田県,竿灯まつり,8月 
﻿14,山形県,花笠まつり,8月 
﻿26,新潟県,長岡まつり,8月 
﻿32,山梨県,吉田の火祭り,8月 
﻿42,京都府,大文字五山送り火,8月 
﻿55,広島県,三原やっさ祭り,8月 
﻿58,徳島県,阿波踊り,8月 
﻿59,高知県,よさこい祭り,8月 
﻿64,熊本県,火の国まつり,8月 
﻿65,熊本県,山鹿灯籠まつり,8月 
