No,都道府県,名称
15,相馬野馬追,7月
﻿35,郡上おどり,7月
﻿41,祇園祭,7月
﻿47,天神祭,7月
﻿51,那智の火祭,7月
﻿53,鷺舞神事,7月
﻿67,エイサー,7月
