No,都道府県,名称
5,青森ねぶた,8月
﻿6,弘前ねぷた,8月
﻿8,黒石よされ,8月
﻿10,さんさ踊り,8月
﻿11,仙台七夕まつり,8月
﻿12,竿灯まつり,8月
﻿14,花笠まつり,8月
﻿26,長岡まつり,8月
﻿32,吉田の火祭り,8月
﻿42,大文字五山送り火,8月
﻿55,三原やっさ祭り,8月
﻿58,阿波踊り,8月
﻿59,よさこい祭り,8月
﻿64,火の国まつり,8月
﻿65,山鹿灯籠まつり,8月
