No,都道府県,名称,開催月 
45,大阪府,今宮十日戎,1月 
﻿46,大阪府,四天王寺どやどや,1月 
﻿47,大阪府,天神祭,7月 
﻿48,大阪府,岸和田だんじり祭,9月 
